,respondent_id,city_of_residence,citizenship,data_id,reason_name,amount,currency,transaction_date,account,transaction_id,surveyor,tool,timeline,transaction_type,payment_type,date_created,date_last_updated,edit_count,description,file
116,254525,Mutare,Zimbabwe,IN00051261,Mdawini Tuckshop,1400.0,ZWL,2020-09-15,,,,,Full payment,,Full payment,2020-09-16,2020-09-16,0,,income
117,254525,Mutare,Zimbabwe,IN00052303,Mdawini Tuckshop,1400.0,ZWL,2020-09-16,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,2,,income
118,254525,Mutare,Zimbabwe,IN00052304,Mdawini Tuckshop,1740.0,ZWL,2020-09-17,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,1,,income
119,254525,Mutare,Zimbabwe,IN00052305,Mdawini Tuckshop,2700.0,ZWL,2020-09-18,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,1,,income
120,254525,Mutare,Zimbabwe,IN00052306,Mdawini Tuckshop,1120.0,ZWL,2020-09-19,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,1,,income
121,254525,Mutare,Zimbabwe,IN00052307,Mdawini Tuckshop,1338.0,ZWL,2020-09-20,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,1,,income
122,254525,Mutare,Zimbabwe,IN00052308,Mdawini Tuckshop,1430.0,ZWL,2020-09-21,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,1,,income
123,254525,Mutare,Zimbabwe,IN00052309,Mdawini Tuckshop,1235.0,ZWL,2020-09-22,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,1,,income
124,254525,Mutare,Zimbabwe,IN00052310,Mdawini Tuckshop,1845.0,ZWL,2020-09-23,,,,,Full payment,,Full payment,2020-09-24,2020-09-24,3,,income
125,254525,Mutare,Zimbabwe,IN00053461,Mdawini Tuckshop,1565.0,ZWL,2020-09-24,,,,,Full payment,,Full payment,2020-10-01,2020-10-01,0,,income
126,254525,Mutare,Zimbabwe,IN00053462,Mdawini Tuckshop,1200.0,ZWL,2020-09-25,,,,,Full payment,,Full payment,2020-10-01,2020-10-01,0,,income
127,254525,Mutare,Zimbabwe,IN00053463,Mdawini Tuckshop,2000.0,ZWL,2020-09-26,,,,,Full payment,,Full payment,2020-10-01,2020-10-01,0,,income
128,254525,Mutare,Zimbabwe,IN00053464,Mdawini Tuckshop,1400.0,ZWL,2020-09-27,,,,,Full payment,,Full payment,2020-10-01,2020-10-01,0,,income
129,254525,Mutare,Zimbabwe,IN00053467,Mdawini Tuckshop,1300.0,ZWL,2020-09-28,,,,,Full payment,,Full payment,2020-10-01,2020-10-01,0,,income
130,254525,Mutare,Zimbabwe,IN00053468,Mdawini Tuckshop,1450.0,ZWL,2020-09-29,,,,,Full payment,,Full payment,2020-10-01,2020-10-01,0,,income
131,254525,Mutare,Zimbabwe,IN00054332,Mdawini Tuckshop,1100.0,ZWL,2020-10-01,,,,,Full payment,,Full payment,2020-10-08,2020-10-08,0,,income
132,254525,Mutare,Zimbabwe,IN00054333,Mdawini Tuckshop,1335.0,ZWL,2020-10-02,,,,,Full payment,,Full payment,2020-10-08,2020-10-08,0,,income
133,254525,Mutare,Zimbabwe,IN00054334,Mdawini Tuckshop,900.0,ZWL,2020-10-03,,,,,Full payment,,Full payment,2020-10-08,2020-10-08,0,,income
134,254525,Mutare,Zimbabwe,IN00054335,Mdawini Tuckshop,1250.0,ZWL,2020-10-04,,,,,Full payment,,Full payment,2020-10-08,2020-10-08,0,,income
135,254525,Mutare,Zimbabwe,IN00054336,Mdawini Tuckshop,1300.0,ZWL,2020-10-05,,,,,Full payment,,Full payment,2020-10-08,2020-10-08,0,,income
136,254525,Mutare,Zimbabwe,IN00054337,Mdawini Tuckshop,1500.0,ZWL,2020-10-06,,,,,Full payment,,Full payment,2020-10-08,2020-10-08,0,,income
137,254525,Mutare,Zimbabwe,IN00054338,Mdawini Tuckshop,1450.0,ZWL,2020-10-07,,,,,Full payment,,Full payment,2020-10-08,2020-10-08,0,,income
138,254525,Mutare,Zimbabwe,IN00055235,Mdawini Tuckshop,700.0,ZWL,2020-10-08,,,,,Full payment,,Full payment,2020-10-15,2020-10-15,0,,income
